"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.146958487E1,6.310525266E-3,-2.864678856E-3,-2.983658731E-2
2.171927388E1,1.116192355E-3,-2.854007687E-3,-2.641187310E-2
2.196896387E1,2.266262015E-3,2.072728314E-3,-2.592889309E-2
2.221865387E1,9.388956400E-3,7.234467566E-4,-2.936413229E-2
2.246834488E1,-3.145491388E-3,-8.072337024E-3,-3.626443148E-2
2.271803487E1,6.573613426E-3,4.672948569E-3,-2.611892760E-2
2.296772387E1,3.775839508E-3,2.378647327E-3,-1.504196227E-2
2.321741387E1,5.511964629E-3,-4.437250961E-3,-2.279537022E-2
2.346710312E1,-9.289307054E-3,-1.073154107E-2,-1.773226619E-2
2.371679313E1,-3.814440267E-3,-1.184441239E-2,-2.314444900E-2
2.396648312E1,-7.909569726E-3,5.373591185E-3,-1.639617741E-2
2.421617212E1,8.107219320E-3,8.685417585E-3,-3.468568325E-2
2.446586225E1,-2.999667311E-3,6.511879619E-3,-2.106342494E-2
2.471555225E1,1.521243601E-2,-3.887174148E-3,-2.432967961E-2
2.496524225E1,6.178739076E-3,-3.222491909E-3,-3.404190481E-2
2.521493225E1,-1.442165948E-2,-5.987877734E-3,-2.104588330E-2
2.546462113E1,-2.274594298E-3,2.788427509E-3,-2.733573318E-2
2.571431112E1,-1.269850787E-3,-6.373647787E-4,-2.868936360E-2
2.596400112E1,8.489426225E-5,-6.783957873E-3,-2.957989454E-2
2.621369112E1,-2.774650007E-3,-2.082778215E-3,-2.985179007E-2
2.646337967E1,9.753119163E-3,-1.546953991E-4,-3.555516422E-2
2.671306967E1,1.334690927E-3,-9.833554924E-4,-3.915061712E-2
2.696275967E1,-3.752076058E-3,-3.612921461E-3,-1.864267766E-2
2.721244967E1,4.201594465E-3,1.861059107E-3,-2.676270604E-2
2.746214029E1,-3.431082191E-3,-1.377348192E-3,-2.897763133E-2
2.771182929E1,3.330281675E-3,9.300197493E-3,-3.510142028E-2
2.796151929E1,-1.426903345E-3,-1.423979737E-3,-2.402971745E-2
2.821120929E1,-1.534154071E-3,-6.051173843E-3,-2.703460157E-2
2.846089867E1,6.069683935E-3,-2.192998230E-3,-3.513007164E-2
2.871058767E1,1.145131504E-3,2.967005130E-3,-2.361982763E-2
2.896027767E1,-4.412669814E-3,-3.263111785E-3,-2.465010703E-2
2.920996767E1,-5.090183951E-3,9.598387219E-4,-3.271107852E-2
2.945965904E1,2.019299380E-4,-9.712152109E-3,-2.672236025E-2
2.970934804E1,1.167615876E-5,1.561809573E-3,-2.748951495E-2
2.995903804E1,2.318622004E-3,-8.712424412E-3,-3.019560635E-2
3.020872804E1,3.024636749E-3,-5.550542548E-3,-2.779181600E-2
3.045841804E1,-3.257063571E-3,-3.598212060E-3,-3.285725892E-2
3.070810700E1,-5.808715392E-3,-1.588414405E-3,-2.224222362E-2
3.095779600E1,-5.143599180E-3,3.970094975E-3,-2.735444427E-2
3.120748600E1,3.275728980E-3,-9.572257474E-4,-3.976808310E-2
3.145717600E1,-2.744810935E-3,-6.881953552E-3,-2.789414227E-2
3.170686550E1,2.100730995E-3,-9.471849818E-3,-1.695809484E-2
3.195655450E1,1.313428989E-2,1.397500986E-2,-2.729889572E-2
3.220624450E1,2.327754624E-2,6.992063932E-3,-2.941734195E-2
3.245593450E1,-1.534029817E-2,-1.074420394E-2,-2.954831958E-2
3.270562488E1,-2.717378357E-2,-1.166992782E-2,-3.810981274E-2
3.295531487E1,3.906762321E-3,-2.307146844E-3,-3.945993483E-2
3.320500387E1,4.939069971E-3,4.997542128E-4,-3.737247884E-2
3.345469387E1,1.362653408E-2,-1.229742542E-4,-2.673113108E-2
3.370438412E1,2.307026702E-2,-9.331973456E-4,-3.527274370E-2
3.395407413E1,1.239317358E-3,2.035854310E-3,-2.975589573E-2
3.420376312E1,2.159194015E-3,-4.511857778E-4,-2.270064533E-2
3.445345312E1,-5.044045765E-4,5.195397288E-3,-3.123465657E-2
3.470314275E1,-5.939683886E-3,-5.062373132E-3,-1.985714436E-2
3.495283275E1,-4.027041374E-3,-9.116046745E-3,-3.259179533E-2
3.520252275E1,9.178529726E-3,-8.595078103E-3,-2.421332002E-2
3.545221175E1,-4.735248825E-3,-2.991526891E-3,-4.141056597E-2
3.570190167E1,-4.138540467E-3,-1.075279204E-2,-4.950954437E-2
3.595159167E1,1.079695679E-2,-2.587199237E-2,-3.559083223E-2
3.620128167E1,-3.374190610E-3,2.067794725E-3,-2.948224604E-2
3.645097067E1,1.126402142E-3,5.912558287E-3,-1.722589731E-2
3.670066037E1,3.432484609E-3,2.353193667E-3,-2.915597141E-2
3.695035038E1,-2.902142149E-3,-3.656099495E-3,-3.363610804E-2
3.720004037E1,-2.719686180E-4,-7.930322774E-3,-2.224339306E-2
3.744973037E1,1.184307849E-3,-4.418466780E-3,-3.618549407E-2
3.769942354E1,-2.655083584E-3,-3.037372716E-3,-2.794969082E-2
3.794911354E1,8.571652696E-4,3.463013470E-4,-3.350688457E-2
3.819880354E1,2.673904309E-3,3.982904032E-3,-2.868994832E-2
3.844849354E1,-3.212423734E-3,2.397122702E-2,-1.970219314E-2
3.869818004E1,-1.698351195E-3,9.164596908E-4,-2.613588452E-2
3.894786904E1,1.212831298E-2,1.359075643E-3,-1.296327710E-2
3.919755904E1,7.108743293E-3,-2.336401194E-3,-4.472886086E-2
3.944724904E1,5.671525095E-3,-7.571413368E-4,-1.956302941E-2
3.969693879E1,-6.478459127E-3,3.093743529E-3,-2.363678455E-2
3.994662779E1,3.361326735E-4,-4.921619687E-3,-3.932778776E-2
4.019631779E1,2.404630892E-3,-3.423544765E-3,-2.585989594E-2
4.044600779E1,-8.813795946E-3,-7.059873361E-3,-2.811458230E-2
4.069569750E1,9.072320536E-6,-8.376812506E-3,-2.779240072E-2
4.094538750E1,-7.094499841E-3,-5.488086976E-3,-2.375957608E-2
4.119507650E1,-4.567899685E-3,-3.197147883E-4,-2.224982500E-2
4.144476650E1,-3.586334903E-3,7.907920629E-3,-2.644286335E-2
4.169445675E1,-6.591867702E-3,-3.835188746E-3,-1.266156077E-2
4.194414675E1,-1.484443601E-3,3.552768230E-3,-2.239366651E-2
4.219383675E1,5.227182386E-3,1.483895425E-3,-2.074826002E-2
4.244352575E1,1.437638467E-3,-3.212040011E-3,-2.356837213E-2
4.269321563E1,-7.158764396E-3,-2.731654700E-3,-2.627270937E-2
4.294290562E1,9.232844878E-4,4.837474599E-3,-2.179140329E-2
4.319259562E1,3.111522719E-3,3.815856390E-3,-2.869930387E-2
4.344228563E1,-5.100407442E-3,-6.765740141E-3,-3.405242980E-2
4.369197562E1,-1.297593084E-3,-7.310481369E-4,-2.510209680E-2
4.394166462E1,3.298693006E-3,5.855694115E-3,-3.036342144E-2
4.419135462E1,-3.892052919E-6,4.856989682E-3,-3.766776323E-2
4.444104463E1,-3.126222985E-3,-3.344899714E-3,-3.033652425E-2
4.469073417E1,-6.899403837E-3,4.744211510E-3,-3.334433198E-2
4.494042417E1,5.706882477E-4,1.293111742E-3,-3.151707709E-2
4.519011317E1,2.242041752E-4,2.479676250E-3,-3.694095433E-2
4.543980317E1,-1.313044352E-2,1.129389703E-3,-3.245497048E-2
4.568949425E1,1.502156097E-2,-2.172204070E-3,-3.468568325E-2
4.593918425E1,-2.254805127E-3,4.709676392E-3,-1.955075026E-2
4.618887425E1,6.664939625E-3,2.000917196E-3,-1.833686829E-2
4.643856425E1,1.281175199E-3,3.843923025E-3,-3.315839052E-2
4.668825317E1,2.437928044E-3,-8.198929243E-3,-3.318236411E-2
4.693794317E1,1.059899200E-3,-5.195141472E-3,-3.243918300E-2
4.718763317E1,5.673430008E-3,3.544216678E-3,-3.096509993E-2
4.743732317E1,3.953704499E-3,1.199483201E-3,-2.523950636E-2
4.768701229E1,-2.271264126E-3,-5.668455306E-3,-3.289468110E-2
4.793670229E1,-7.099652700E-3,1.360573992E-4,-2.178789496E-2
4.818639229E1,-6.106594484E-4,-1.070086146E-2,-2.750822604E-2
4.843608129E1,-3.146679103E-3,7.813341916E-4,-3.109549284E-2
4.868577192E1,-4.325057510E-3,-3.395039588E-4,-2.704805017E-2
4.893546192E1,8.241486009E-3,2.658728957E-3,-2.841746807E-2
