"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.196896387E1,-5.590282381E-4,-2.003083006E-3,1.070838422E-3
2.221865387E1,-4.948624410E-4,1.249826513E-3,1.353871310E-3
2.246834488E1,2.369283233E-3,1.464777160E-3,1.259901095E-3
2.271803487E1,-2.120988443E-3,-4.525524564E-4,6.555537693E-4
2.296772387E1,-1.541003585E-4,1.534491312E-3,6.372567732E-4
2.321741387E1,2.335035242E-4,6.102258340E-5,-1.251096139E-3
2.346710312E1,-3.144497517E-3,1.786085777E-3,-1.576227020E-3
2.371679313E1,7.415800355E-4,1.270566136E-3,2.380062360E-4
2.396648312E1,6.819409318E-4,1.961903647E-3,1.577845542E-3
2.421617212E1,-1.838543918E-3,3.917445429E-4,7.823456544E-4
2.446586225E1,-2.129222266E-4,-6.387946196E-4,-1.056808978E-4
2.471555225E1,-1.278178766E-3,-3.109389916E-3,-2.512293868E-4
2.496524225E1,-1.211747061E-3,2.935328521E-4,4.993432667E-4
2.521493225E1,8.880607784E-4,-2.890676260E-4,-1.298889401E-3
2.546462113E1,-8.992808871E-4,2.215509303E-4,2.655004151E-3
2.571431112E1,1.798673533E-3,-1.954440959E-4,1.277764793E-3
2.596400112E1,6.721722893E-4,-3.475580364E-3,1.948850695E-4
2.621369112E1,-1.913601533E-3,2.247044351E-3,5.264859647E-5
2.646337967E1,-2.440265380E-4,-5.382699892E-4,9.113254491E-4
2.671306967E1,-2.157678828E-4,-4.832586274E-5,2.518643159E-4
2.696275967E1,6.304546259E-4,-1.474022865E-4,-1.202561660E-3
2.721244967E1,-1.083769836E-3,-1.121058129E-3,2.016166458E-3
2.746214029E1,-2.116531134E-3,1.460831147E-3,1.385990763E-3
2.771182929E1,-3.756153863E-3,1.343170647E-3,-1.861278433E-4
2.796151929E1,9.598666802E-4,-3.903876059E-4,-2.452292014E-3
2.821120929E1,3.020078875E-4,-8.894870989E-4,1.940636430E-4
2.846089867E1,-2.307666931E-3,1.851773355E-3,2.736770548E-4
2.871058767E1,2.350024879E-4,4.086457193E-4,-8.865429554E-4
2.896027767E1,2.062621992E-3,2.227346413E-4,1.160316635E-3
2.920996767E1,-8.993037045E-5,1.064112876E-3,-9.995545261E-4
2.945965904E1,-1.463052351E-3,-1.331060659E-3,7.839754689E-4
2.970934804E1,1.207040623E-4,-1.964136027E-4,8.005881682E-5
2.995903804E1,-1.918334980E-3,2.180587966E-3,-2.931682393E-4
3.020872804E1,-8.643409237E-4,-9.337021038E-4,2.639286686E-4
3.045841804E1,-8.917367086E-5,-8.880710229E-4,-2.372901887E-3
3.070810700E1,6.461623125E-4,-9.202305228E-4,9.424998425E-4
3.095779600E1,6.356462836E-5,-8.782646619E-4,2.580375876E-4
3.120748600E1,-2.051801421E-3,-2.112878021E-3,-4.687940236E-4
3.145717600E1,-1.806095243E-3,7.570162416E-5,1.266319305E-5
3.170686550E1,1.860767370E-3,-5.673049018E-4,-3.235817421E-4
3.195655450E1,6.215563044E-4,-1.426146366E-3,-2.927973401E-4
3.220624450E1,2.903533168E-4,-1.285440754E-3,-2.459934913E-4
3.245593450E1,1.213237876E-3,-4.521897063E-5,-3.370316699E-4
3.270562488E1,-1.159235835E-4,9.475331753E-4,-2.318643499E-3
3.295531487E1,-1.913527492E-3,1.536243595E-3,1.237780787E-3
3.320500387E1,-9.113880806E-4,1.432799269E-3,1.918105874E-3
3.345469387E1,6.514792331E-4,2.130926587E-3,-1.200730330E-3
3.370438412E1,2.085628686E-3,-8.648363873E-4,-8.039916866E-4
3.395407413E1,-2.969692461E-3,1.626137644E-3,8.783643134E-4
3.420376312E1,-1.662870403E-3,-2.521174029E-4,-9.093200788E-6
3.445345312E1,-5.339276977E-4,1.650559716E-4,2.839405788E-3
3.470314275E1,3.642356023E-4,4.831887782E-4,7.832236588E-5
3.495283275E1,1.906838501E-3,-2.577476669E-3,7.286269683E-4
3.520252275E1,2.849716693E-4,1.545376144E-3,-5.665922072E-4
3.545221175E1,2.822591923E-4,1.330172177E-3,-2.061071340E-3
3.570190167E1,-3.456252161E-3,7.071741857E-4,4.563853145E-4
3.595159167E1,-3.601498902E-4,1.488873269E-3,-9.489983786E-4
3.620128167E1,-2.430640161E-4,1.567150466E-4,-1.489196322E-3
