Time;x;y;z
2.022113613E1;3.226475906E1;-7.497944641E1;-1.977288818E1
2.047082625E1;3.217897034E1;-7.505416870E1;-1.934579468E1
2.072051525E1;3.249049759E1;-7.471849060E1;-1.946658325E1
2.097020525E1;3.204734421E1;-7.455770874E1;-1.950601196E1
2.121989525E1;3.219224930E1;-7.498757935E1;-1.989923096E1
2.146958487E1;3.205624008E1;-7.483827209E1;-1.982083130E1
2.171927388E1;3.186928940E1;-7.491839600E1;-1.951254272E1
2.196896387E1;3.211402893E1;-7.461768341E1;-1.957461548E1
2.221865387E1;3.214550781E1;-7.498690796E1;-1.940618896E1
2.246834488E1;3.209521866E1;-7.486643982E1;-1.907781982E1
2.271803487E1;3.194345474E1;-7.476847076E1;-1.871035767E1
2.296772387E1;3.195242310E1;-7.490208435E1;-1.913821411E1
2.321741387E1;3.209446335E1;-7.505249023E1;-1.962411499E1
2.346710312E1;3.185266876E1;-7.480262756E1;-1.926535034E1
2.371679313E1;3.215692139E1;-7.458895111E1;-1.942358398E1
2.396648312E1;3.231591415E1;-7.468139648E1;-1.945837402E1
2.421617212E1;3.232487488E1;-7.492316437E1;-1.945544434E1
2.446586225E1;3.161922455E1;-7.465805817E1;-1.976690674E1
2.471555225E1;3.185129929E1;-7.485961151E1;-1.948181152E1
2.496524225E1;3.215883255E1;-7.459914398E1;-1.955966187E1
2.521493225E1;3.208961487E1;-7.471923065E1;-1.923031616E1
2.546462113E1;3.214770889E1;-7.450862885E1;-1.965039062E1
2.571431112E1;3.216580200E1;-7.493284607E1;-1.883895874E1
2.596400112E1;3.185176086E1;-7.529559326E1;-1.908316040E1
2.621369112E1;3.208773041E1;-7.521244812E1;-1.947698975E1
2.646337967E1;3.183935928E1;-7.477175903E1;-1.916284180E1
2.671306967E1;3.202444458E1;-7.512111664E1;-1.905740356E1
2.696275967E1;3.207175827E1;-7.518843079E1;-1.919155884E1
2.721244967E1;3.194943237E1;-7.502574158E1;-1.930865479E1
2.746214029E1;3.204251862E1;-7.503781128E1;-1.939727783E1
2.771182929E1;3.207511902E1;-7.496681213E1;-1.893786621E1
2.796151929E1;3.213121033E1;-7.494470978E1;-1.946536255E1
2.821120929E1;3.193010330E1;-7.504278564E1;-1.943353271E1
2.846089867E1;3.199900818E1;-7.509214020E1;-1.937982178E1
2.871058767E1;3.216122437E1;-7.507120514E1;-1.961096191E1
2.896027767E1;3.194879532E1;-7.508969116E1;-1.998260498E1
2.920996767E1;3.194523239E1;-7.509701538E1;-1.960089111E1
2.945965904E1;3.210127258E1;-7.500037384E1;-1.894747925E1
2.970934804E1;3.175436783E1;-7.524470520E1;-1.910589600E1
2.995903804E1;3.185497665E1;-7.489662170E1;-1.924951172E1
3.020872804E1;3.180347824E1;-7.493827820E1;-1.916265869E1
3.045841804E1;3.187333298E1;-7.473400879E1;-1.914730835E1
3.070810700E1;3.202535248E1;-7.501412201E1;-1.962789917E1
3.095779600E1;3.198598480E1;-7.501512146E1;-1.890316772E1
3.120748600E1;3.205640411E1;-7.477388000E1;-1.939535522E1
3.145717600E1;3.187098694E1;-7.476307678E1;-1.900381470E1
3.170686550E1;3.200167847E1;-7.501843262E1;-1.940521240E1
3.195655450E1;3.194488907E1;-7.506826782E1;-1.912045288E1
3.220624450E1;3.224079895E1;-7.504595184E1;-1.909207153E1
3.245593450E1;3.199820709E1;-7.490353394E1;-1.939019775E1
3.270562488E1;3.217493439E1;-7.509523773E1;-1.918267822E1
3.295531487E1;3.191610336E1;-7.473139954E1;-1.969540405E1
3.320500387E1;3.204423904E1;-7.484114075E1;-1.936993408E1
3.345469387E1;3.219526291E1;-7.495791626E1;-1.932568359E1
3.370438412E1;3.206628036E1;-7.502685547E1;-1.923168945E1
3.395407413E1;3.192430115E1;-7.517419434E1;-1.940829468E1
3.420376312E1;3.190262604E1;-7.493937683E1;-1.951458740E1
3.445345312E1;3.204590225E1;-7.511628723E1;-1.963812256E1
3.470314275E1;3.217650986E1;-7.495607758E1;-1.950128174E1
3.495283275E1;3.247070312E1;-7.507908630E1;-1.976867676E1
3.520252275E1;3.222486115E1;-7.489988708E1;-1.959890747E1
3.545221175E1;3.240686035E1;-7.477421570E1;-1.969427490E1
3.570190167E1;3.201531601E1;-7.497849274E1;-1.917272949E1
3.595159167E1;3.209774017E1;-7.449719238E1;-1.906695557E1
3.620128167E1;3.214733124E1;-7.488101196E1;-1.961761475E1
3.645097067E1;3.205214310E1;-7.511752319E1;-1.935653687E1
3.670066037E1;3.192679214E1;-7.498963928E1;-1.935345459E1
3.695035038E1;3.211427307E1;-7.515206146E1;-1.917755127E1
3.720004037E1;3.220886230E1;-7.498677063E1;-1.940673828E1
3.744973037E1;3.213941956E1;-7.504255676E1;-1.935205078E1
3.769942354E1;3.182085419E1;-7.500207520E1;-1.968212891E1
3.794911354E1;3.184084320E1;-7.503622437E1;-1.940060425E1
3.819880354E1;3.206916046E1;-7.505268860E1;-1.942764282E1
3.844849354E1;3.192464828E1;-7.451167297E1;-1.923385620E1
3.869818004E1;3.217061234E1;-7.493157196E1;-1.983245850E1
3.894786904E1;3.208714676E1;-7.476285553E1;-1.965408325E1
3.919755904E1;3.164008713E1;-7.466300964E1;-1.953811646E1
3.944724904E1;3.179505920E1;-7.483326721E1;-1.963775635E1
3.969693879E1;3.191102600E1;-7.462322235E1;-1.956091309E1
3.994662779E1;3.222961426E1;-7.508224487E1;-1.939346313E1
4.019631779E1;3.208785248E1;-7.496737671E1;-1.932626343E1
4.044600779E1;3.199315262E1;-7.481944275E1;-1.944259644E1
4.069569750E1;3.208347321E1;-7.495281982E1;-1.957073975E1
4.094538750E1;3.230275726E1;-7.480321503E1;-1.960821533E1
4.119507650E1;3.251623535E1;-7.509954834E1;-1.963183594E1
4.144476650E1;3.225349045E1;-7.499407196E1;-2.024481201E1
4.169445675E1;3.198715973E1;-7.502307129E1;-1.963333130E1
4.194414675E1;3.214253616E1;-7.508004761E1;-1.970413208E1
4.219383675E1;3.215972137E1;-7.501530457E1;-1.973153687E1
4.244352575E1;3.212334442E1;-7.504786682E1;-1.998016357E1
4.269321563E1;3.242508698E1;-7.490183258E1;-2.013916016E1
4.294290562E1;3.257754135E1;-7.520675659E1;-1.975250244E1
4.319259562E1;3.223681259E1;-7.493944550E1;-1.994802856E1
4.344228563E1;3.214788818E1;-7.501273346E1;-2.011676025E1
4.369197562E1;3.225465012E1;-7.520730591E1;-1.990655518E1
4.394166462E1;3.205252457E1;-7.539974213E1;-2.013336182E1
4.419135462E1;3.217834854E1;-7.527958679E1;-2.013607788E1
4.444104463E1;3.215641403E1;-7.499315643E1;-2.010748291E1
4.469073417E1;3.228274536E1;-7.492575073E1;-1.957061768E1
4.494042417E1;3.219165421E1;-7.492959595E1;-1.964474487E1
4.519011317E1;3.180201721E1;-7.490031433E1;-1.962643433E1
4.543980317E1;3.178303528E1;-7.500659180E1;-1.980017090E1
4.568949425E1;3.146072769E1;-7.509646606E1;-1.944665527E1
4.593918425E1;3.183212662E1;-7.491719818E1;-1.940225220E1
4.618887425E1;3.176929092E1;-7.490501404E1;-1.972769165E1
4.643856425E1;3.183672333E1;-7.513879395E1;-1.944558716E1
4.668825317E1;3.176722717E1;-7.476356506E1;-1.943466187E1
4.693794317E1;3.188061523E1;-7.511463928E1;-1.961315918E1
4.718763317E1;3.196906662E1;-7.487064362E1;-1.995562744E1
4.743732317E1;3.202465820E1;-7.508650208E1;-1.928125000E1
4.768701229E1;3.195363998E1;-7.489912415E1;-1.955096436E1
4.793670229E1;3.170573425E1;-7.508390808E1;-2.028240967E1
4.818639229E1;3.197126770E1;-7.503433228E1;-1.990188599E1
4.843608129E1;3.220497131E1;-7.523744202E1;-1.961004639E1
4.868577192E1;3.210476685E1;-7.508000183E1;-2.015582275E1
4.893546192E1;3.220067215E1;-7.514367676E1;-1.944427490E1
4.918515192E1;3.182915115E1;-7.478128815E1;-1.907452393E1
4.943484192E1;3.176169968E1;-7.502024841E1;-1.949670410E1
4.968453229E1;3.177712250E1;-7.510629272E1;-1.963183594E1
4.993422229E1;3.191716385E1;-7.529875946E1;-1.977722168E1
5.018391129E1;3.183158112E1;-7.501551819E1;-1.988256836E1
5.043360129E1;3.183277893E1;-7.511906433E1;-1.997964478E1
5.068329087E1;3.199146271E1;-7.502706146E1;-2.014108276E1
5.093298088E1;3.192771149E1;-7.527617645E1;-1.952310181E1
5.118267087E1;3.225191116E1;-7.517494202E1;-1.972647095E1
5.143236087E1;3.202956009E1;-7.500455475E1;-1.920706177E1
5.168205017E1;3.176079941E1;-7.515473938E1;-2.009945679E1
5.193174017E1;3.193376160E1;-7.479003906E1;-1.993502808E1
5.218143017E1;3.205907822E1;-7.463190460E1;-1.983520508E1
5.243111917E1;3.189442444E1;-7.482472229E1;-1.933801270E1
5.268080979E1;3.188715744E1;-7.501648712E1;-1.944833374E1
5.293049979E1;3.198049927E1;-7.492755127E1;-1.939093018E1
5.318018979E1;3.188235855E1;-7.506724548E1;-1.939080811E1
5.342987979E1;3.197875214E1;-7.486726379E1;-1.896636963E1
5.367956962E1;3.176792526E1;-7.490444946E1;-1.890859985E1
5.392925963E1;3.175246811E1;-7.454078674E1;-1.959347534E1
5.417894962E1;3.225496292E1;-7.491680908E1;-1.997482300E1
5.442863962E1;3.188743210E1;-7.509738922E1;-1.953561401E1
5.467832987E1;3.180911255E1;-7.470169067E1;-1.978048706E1
5.492801987E1;3.181270218E1;-7.498512268E1;-1.987973022E1
5.517770888E1;3.183122253E1;-7.503385925E1;-1.981869507E1
5.542739888E1;3.191572571E1;-7.514233398E1;-1.966647339E1
5.567708887E1;3.186937332E1;-7.473745728E1;-1.926419067E1
5.592677887E1;3.175180435E1;-7.515918732E1;-1.915762329E1
5.617646888E1;3.186422729E1;-7.523370361E1;-1.965667725E1
5.642615887E1;3.171781158E1;-7.508299255E1;-1.956283569E1
5.667584850E1;3.201312256E1;-7.493177032E1;-1.928323364E1
5.692553850E1;3.185439301E1;-7.502716064E1;-1.925418091E1
5.717522850E1;3.187853622E1;-7.513188171E1;-1.861248779E1
5.742491850E1;3.187341690E1;-7.482441711E1;-1.916546631E1
5.767460892E1;3.198088837E1;-7.487364197E1;-1.931692505E1
5.792429892E1;3.194158554E1;-7.502300262E1;-1.888528442E1
5.817398892E1;3.183766174E1;-7.471025848E1;-1.952847290E1
5.842367892E1;3.181373215E1;-7.473153687E1;-1.923254395E1
5.867336862E1;3.213602448E1;-7.473176575E1;-1.922283936E1
5.892305862E1;3.174357986E1;-7.482089233E1;-1.987658691E1
5.917274862E1;3.229029465E1;-7.497841644E1;-1.928942871E1
5.942243863E1;3.172724152E1;-7.489372253E1;-1.886047363E1
5.967212850E1;3.179125595E1;-7.506827545E1;-1.907690430E1
5.992181850E1;3.193983078E1;-7.507660675E1;-1.873199463E1
6.017150850E1;3.211183548E1;-7.502268982E1;-1.875119019E1
6.042119850E1;3.209143829E1;-7.512261963E1;-1.954232788E1
6.067088892E1;3.201370621E1;-7.506413269E1;-1.947839355E1
6.092057892E1;3.195236969E1;-7.515090942E1;-1.945181274E1
6.117026892E1;3.214555359E1;-7.496424103E1;-1.920971680E1
6.141995892E1;3.205921936E1;-7.490505981E1;-1.995349121E1
6.166964838E1;3.193109894E1;-7.506472778E1;-1.906655884E1
6.191933837E1;3.197234726E1;-7.473777771E1;-1.941448975E1
6.216902837E1;3.181686783E1;-7.473738098E1;-1.921224976E1
6.241871838E1;3.187505341E1;-7.512754059E1;-1.839959717E1
6.266840925E1;3.172707748E1;-7.480759430E1;-1.894604492E1
6.291809925E1;3.176314926E1;-7.508474731E1;-1.920541382E1
6.316778925E1;3.192032242E1;-7.498909760E1;-1.899319458E1
6.341747925E1;3.175073242E1;-7.529203796E1;-1.936352539E1
6.366716925E1;3.183435440E1;-7.490837097E1;-1.976385498E1
6.391685925E1;3.168369675E1;-7.508272552E1;-1.970812988E1
6.416654925E1;3.165039825E1;-7.481854248E1;-1.942538452E1
6.441623925E1;3.169567871E1;-7.495083618E1;-1.918383789E1
6.466592850E1;3.175453568E1;-7.520074463E1;-1.940548706E1
6.491561850E1;3.208289719E1;-7.504813385E1;-1.937789917E1
6.516530850E1;3.191007614E1;-7.560935974E1;-1.963677979E1
6.541499850E1;3.184861374E1;-7.511843109E1;-1.965838623E1
6.566468900E1;3.190281296E1;-7.504704285E1;-1.939633179E1
6.591437900E1;3.176803970E1;-7.515713501E1;-1.914617920E1
6.616406900E1;3.218920517E1;-7.484090424E1;-1.975097656E1
6.641376000E1;3.188066101E1;-7.500599670E1;-1.944827271E1
6.666345013E1;3.160612869E1;-7.504394531E1;-1.920257568E1
6.691314012E1;3.187788010E1;-7.521292114E1;-1.909942627E1
6.716283012E1;3.182128525E1;-7.552291107E1;-1.896224976E1
6.741252012E1;3.162199783E1;-7.543953705E1;-1.930276489E1
6.766221000E1;3.190879440E1;-7.514797974E1;-1.968386841E1
6.791190000E1;3.203689575E1;-7.528149414E1;-1.927066040E1
6.816159000E1;3.195365143E1;-7.528771973E1;-1.940029907E1
6.841128000E1;3.176151276E1;-7.541564941E1;-1.949951172E1
6.866097042E1;3.209660721E1;-7.530177307E1;-1.999511719E1
6.891066142E1;3.179709625E1;-7.526437378E1;-2.017019653E1
6.916035142E1;3.171039963E1;-7.548146057E1;-2.092321777E1
6.941004142E1;3.134188461E1;-7.543046570E1;-2.068713379E1
6.965973087E1;3.130980682E1;-7.512298584E1;-2.149166870E1
6.990942088E1;3.126964569E1;-7.528155518E1;-2.164743042E1
7.015911087E1;3.121572113E1;-7.520088196E1;-2.119418335E1
7.040880087E1;3.144343185E1;-7.499989319E1;-2.122064209E1
7.065849029E1;3.150338745E1;-7.510305786E1;-2.177331543E1
7.090818129E1;3.150763702E1;-7.491499329E1;-2.138577271E1
7.115787129E1;3.164836884E1;-7.501637268E1;-2.148983765E1
7.140756129E1;3.187862396E1;-7.510049438E1;-2.157733154E1
