"Time (s)","Distance (cm)"
1.942396917E3,0.000000000E0
1.942516904E3,5.000000000E0
1.943100028E3,0.000000000E0
1.943325906E3,5.000000000E0
1.944343438E3,0.000000000E0
1.944569411E3,5.000000000E0
1.944948976E3,0.000000000E0
1.945068197E3,5.000000000E0
1.945617935E3,0.000000000E0
1.945843856E3,5.000000000E0
1.946862438E3,0.000000000E0
1.947088101E3,5.000000000E0
1.948038833E3,0.000000000E0
1.948264900E3,5.000000000E0
1.948662673E3,0.000000000E0
1.948780804E3,5.000000000E0
1.949262414E3,0.000000000E0
1.949488161E3,5.000000000E0
1.949887962E3,0.000000000E0
1.950114133E3,5.000000000E0
1.950528158E3,0.000000000E0
1.950862922E3,5.000000000E0
1.951745170E3,0.000000000E0
1.951970997E3,5.000000000E0
1.953022679E3,0.000000000E0
1.953248843E3,5.000000000E0
1.957989047E3,0.000000000E0
1.958215592E3,5.000000000E0
1.959182758E3,0.000000000E0
1.959409057E3,5.000000000E0
1.961047360E3,0.000000000E0
1.961166838E3,5.000000000E0
1.961665388E3,0.000000000E0
1.961892063E3,5.000000000E0
1.964183634E3,0.000000000E0
1.964409812E3,5.000000000E0
1.965428486E3,0.000000000E0
1.965653903E3,5.000000000E0
1.966069483E3,0.000000000E0
1.966187363E3,5.000000000E0
1.966719645E3,0.000000000E0
1.966945120E3,5.000000000E0
1.967929416E3,0.000000000E0
1.968155451E3,5.000000000E0
1.968554430E3,0.000000000E0
1.968672464E3,5.000000000E0
1.969791401E3,0.000000000E0
1.969910141E3,5.000000000E0
1.971046093E3,0.000000000E0
1.971273352E3,5.000000000E0
1.971670425E3,0.000000000E0
1.971896925E3,5.000000000E0
1.972930974E3,0.000000000E0
1.973157013E3,5.000000000E0
1.974778944E3,0.000000000E0
1.975005011E3,5.000000000E0
1.978504507E3,0.000000000E0
1.978623089E3,5.000000000E0
1.982861535E3,0.000000000E0
1.983088562E3,5.000000000E0
1.983418242E3,0.000000000E0
1.983538054E3,5.000000000E0
1.984086114E3,0.000000000E0
1.984313351E3,5.000000000E0
1.985315248E3,0.000000000E0
1.985541235E3,5.000000000E0
1.987750393E3,0.000000000E0
1.987974994E3,5.000000000E0
1.988959589E3,0.000000000E0
1.989185771E3,5.000000000E0
1.995135048E3,0.000000000E0
1.995361834E3,5.000000000E0
1.996446745E3,0.000000000E0
1.996782061E3,5.000000000E0
1.998938697E3,0.000000000E0
1.999164864E3,5.000000000E0
1.999478360E3,0.000000000E0
1.999704576E3,5.000000000E0
2.000118666E3,0.000000000E0
2.000452878E3,5.000000000E0
2.001370380E3,0.000000000E0
2.001596326E3,5.000000000E0
2.001960582E3,0.000000000E0
2.002082361E3,5.000000000E0
2.002610916E3,0.000000000E0
2.002838311E3,5.000000000E0
2.003201677E3,0.000000000E0
2.003427939E3,5.000000000E0
2.003858915E3,0.000000000E0
2.004087129E3,5.000000000E0
2.004448818E3,0.000000000E0
2.004674925E3,5.000000000E0
2.005089923E3,0.000000000E0
2.005316767E3,5.000000000E0
2.006285367E3,0.000000000E0
2.006510149E3,5.000000000E0
2.006925091E3,0.000000000E0
2.007151479E3,5.000000000E0
2.007533530E3,0.000000000E0
2.007760007E3,5.000000000E0
2.008173570E3,0.000000000E0
2.008399619E3,5.000000000E0
2.008782183E3,0.000000000E0
2.009008367E3,5.000000000E0
2.009388176E3,0.000000000E0
2.009614636E3,5.000000000E0
2.009996487E3,0.000000000E0
2.010222381E3,5.000000000E0
2.010635663E3,0.000000000E0
2.010861906E3,5.000000000E0
2.011226842E3,0.000000000E0
2.011452436E3,5.000000000E0
2.011833109E3,0.000000000E0
2.012061924E3,5.000000000E0
2.016180133E3,0.000000000E0
2.016406518E3,5.000000000E0
2.017961690E3,0.000000000E0
2.018080246E3,5.000000000E0
2.018595574E3,0.000000000E0
2.018821608E3,5.000000000E0
2.019790771E3,0.000000000E0
2.020022440E3,5.000000000E0
2.021040706E3,0.000000000E0
2.021266460E3,5.000000000E0
2.030835284E3,0.000000000E0
2.031061702E3,5.000000000E0
2.032062563E3,0.000000000E0
2.032289741E3,5.000000000E0
2.035721623E3,0.000000000E0
2.035947336E3,5.000000000E0
2.036298311E3,0.000000000E0
2.036413259E3,5.000000000E0
2.039429206E3,0.000000000E0
2.039653705E3,5.000000000E0
2.039950814E3,0.000000000E0
2.040178144E3,5.000000000E0
2.040608384E3,0.000000000E0
2.040834361E3,5.000000000E0
2.041834897E3,0.000000000E0
2.042060855E3,5.000000000E0
2.043032262E3,0.000000000E0
2.043255761E3,5.000000000E0
