"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.098636063E1,2.948867798E-2,2.136058044E-1,9.775122528E0
1.123605062E1,6.511459351E-2,2.158511353E-1,9.784103851E0
1.148574175E1,3.278182983E-2,2.047741699E-1,9.783355408E0
1.173543175E1,5.867797852E-2,2.163002014E-1,9.771230621E0
1.198512175E1,3.427871704E-2,2.188449097E-1,9.786049805E0
1.223481175E1,3.233276367E-2,2.083666992E-1,9.789792023E0
1.248450075E1,3.637435913E-2,2.145039368E-1,9.771829376E0
1.273419075E1,4.834945679E-2,2.230361938E-1,9.788295135E0
1.298388075E1,5.194198608E-2,2.276765442E-1,9.786498871E0
1.323357075E1,4.056564331E-2,2.056723022E-1,9.776469727E0
1.348326025E1,3.712280273E-2,2.082170105E-1,9.786349182E0
1.373295025E1,2.409988403E-2,2.186952209E-1,9.782606964E0
1.398264025E1,5.553451538E-2,2.228865051E-1,9.792336731E0
1.423233025E1,4.251159668E-2,2.165995789E-1,9.787696381E0
1.448201975E1,3.338058472E-2,2.154020691E-1,9.775721283E0
1.473170875E1,5.269042969E-2,2.091151428E-1,9.770781555E0
1.498139875E1,5.822891235E-2,1.983375549E-1,9.772727509E0
1.523108875E1,3.712280273E-2,2.085163879E-1,9.793085175E0
1.548077879E1,3.203338623E-2,2.104623413E-1,9.781559143E0
1.573046879E1,4.191284180E-2,2.125579834E-1,9.780960388E0
1.598015879E1,4.086502075E-2,2.167492676E-1,9.791588287E0
1.622984879E1,4.116439819E-2,2.203417969E-1,9.774823151E0
1.647954129E1,4.296066284E-2,2.160008240E-1,9.781110077E0
1.672923129E1,3.173400879E-2,2.122586060E-1,9.773925018E0
1.697892129E1,3.936813354E-2,2.098635864E-1,9.770631866E0
1.722861129E1,3.981719971E-2,2.130070496E-1,9.779164124E0
1.747829729E1,4.939727783E-2,2.062710571E-1,9.782906342E0
1.772798729E1,4.041595459E-2,2.272274780E-1,9.782157898E0
1.797767629E1,4.999603271E-2,2.146536255E-1,9.781708832E0
1.822736629E1,5.493576050E-2,2.218386841E-1,9.782157898E0
1.847705704E1,3.712280273E-2,2.167492676E-1,9.782756653E0
1.872674704E1,3.412902832E-2,1.987866211E-1,9.782457275E0
1.897643704E1,4.879852295E-2,2.127076721E-1,9.783505096E0
1.922612604E1,3.308120728E-2,2.107617188E-1,9.780361633E0
1.947581612E1,2.844085693E-2,2.044747925E-1,9.769434357E0
1.972550613E1,3.173400879E-2,2.219883728E-1,9.775272217E0
1.997519612E1,4.221221924E-2,2.142045593E-1,9.769284668E0
2.022488612E1,3.442840576E-2,2.192939758E-1,9.784103851E0
2.047457625E1,3.757186890E-2,2.115101624E-1,9.776918793E0
2.072426525E1,5.119354248E-2,2.234852600E-1,9.781559143E0
2.097395525E1,3.143463135E-2,2.170486450E-1,9.771230621E0
2.122364525E1,3.682342529E-2,2.065704346E-1,9.765841827E0
2.147333487E1,4.775070190E-2,2.122586060E-1,9.777667236E0
2.172302388E1,4.236190796E-2,2.115101624E-1,9.781110077E0
2.197271388E1,4.266128540E-2,2.180964661E-1,9.781559143E0
2.222240387E1,5.074447632E-2,2.168989563E-1,9.778116302E0
2.247209487E1,3.891906738E-2,2.073188782E-1,9.771230621E0
2.272178488E1,4.805007935E-2,2.186952209E-1,9.781409454E0
2.297147387E1,4.580474854E-2,2.163002014E-1,9.792486420E0
2.322116387E1,4.864883423E-2,2.106120300E-1,9.784702606E0
2.347085312E1,3.248245239E-2,2.034269714E-1,9.789792023E0
2.372054312E1,3.682342529E-2,2.014810181E-1,9.784403229E0
2.397023313E1,3.397933960E-2,2.189945984E-1,9.791139221E0
2.421992212E1,4.834945679E-2,2.213896179E-1,9.772877197E0
2.446961225E1,3.697311401E-2,2.192939758E-1,9.786498871E0
2.471930225E1,5.643264771E-2,2.098635864E-1,9.783205719E0
2.496899225E1,4.790039063E-2,2.112107849E-1,9.773475952E0
2.521868225E1,2.694396973E-2,2.073188782E-1,9.786498871E0
2.546837112E1,3.817062378E-2,2.161505127E-1,9.780211945E0
2.571806113E1,3.847000122E-2,2.125579834E-1,9.778864746E0
2.596775112E1,3.996688843E-2,2.067201233E-1,9.777966614E0
2.621744112E1,3.607498169E-2,2.128573608E-1,9.777667236E0
2.646712967E1,4.969665527E-2,2.139051819E-1,9.771979065E0
2.671681967E1,4.251159668E-2,2.127076721E-1,9.768386536E0
2.696650967E1,3.712280273E-2,2.101629639E-1,9.788893890E0
