,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
1970-01-01 00:00:00,0.5625801086333333,1.6573036193333337,9.681816559,-0.66971678536,-0.4603677094,-0.1862884666846667,-19.718007406666672,34.74171172775563,-38.581726076666655,2.5,52.318156885,4.872714545,-4.408018589,-1.0,-1.0,10.246103430100893,10.246103430100893,1,0,0,0,0,0,0,0,-0.3887691012211108,-0.5365995649745643,0.5513988576615054,0.18097984069388026,-0.04339632481062194,0.03847268329954739
1970-01-01 00:00:01,-1.1466156005376666,-2.40824203497,-6.349396361666668,-0.0314352356892092,0.7502914350500001,-0.56960701925,-19.92827606075,11.511272429749999,8.790557861000003,2.6470588235294117,52.318903434044586,4.873524189998852,1.068468534575866,0.8788310746649441,168.74713053854467,10.246103430100893,10.246103430100893,1,0,0,0,0,0,0,0,-0.06635285761148163,-0.07043190111401124,-0.1856593753231632,0.20753726885439383,0.028610944119000403,0.2074338936461148
1970-01-01 00:00:02,-7.7246115875,-3.4776432035000004,0.03824546800000039,0.842919688725,0.0071043740941602995,-0.7146223206675001,8.06589507975,8.25702285625,21.61920166,5.0,52.318903434044586,4.873524189998852,1.068468534575866,0.8788310746649441,168.74713053854467,10.246103430100893,10.246103430100893,1,0,0,0,0,0,0,0,-0.0909888963595416,-0.01486332204093209,-0.059363516627966594,-0.0644039894184885,-0.02006796490526131,-0.06558589985542736
1970-01-01 00:00:03,2.972718200666668,-2.2941293338,10.144105223666664,-0.49791672082500005,-0.31137187780000003,0.08920946717499997,-10.14570617525,23.52467346,-40.4638519275,0.0,52.31856408,4.873311678,-6.036272049,2.3250000475,48.33984375,10.0,10.0,1,0,0,0,0,0,0,0,-0.07847079264674961,-0.13632181163282708,0.6125722639721976,0.2881615545658934,0.13185312095604806,0.06472993987608776
1970-01-01 00:00:04,0.9978998565000002,-10.934311985,3.4009277344999997,0.14353026457500007,0.8243470416000002,0.0249363365575,-0.9675292972499999,37.5581817625,-29.19969177,2.6470588235294117,52.31852611,4.873306565,-2.45230484,1.730000019,201.09375,10.0,10.0,1,0,0,0,0,0,0,0,0.13535343312625545,-0.1105898250737888,0.16262704995000513,-0.10779761135638972,0.029256160460791117,0.08391067281100355
1970-01-01 00:00:05,3.3057756039999995,-4.3906695557666655,6.453829193,1.3188991845500002,-0.4469438959000001,-1.0034107361249998,-2.04534149225,40.0997047425,-23.9269104025,2.6470588235294117,52.31852414,4.873335902,-2.255283356,0.7599999905,125.5078125,10.0,10.0,1,0,0,0,0,0,0,0,-0.1099660493758736,-0.19898738342343905,0.2297177292231482,-0.06718460468348075,0.05983260221387326,-0.14598897736664715
1970-01-01 00:00:06,1.9705771637,-7.9665834055,8.125178604,-1.2681605742750002,0.286253020225,-1.6499791889250002,-19.2762298575,28.7819824225,-26.959732053175006,2.6470588235294117,52.31852414,4.873335902,-2.066928864,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0,-0.3487634476998372,-0.1887000133381554,0.4379950252335891,0.22872719469636113,0.01322572459759504,0.48185688259951986
1970-01-01 00:00:07,5.515580291666668,-6.517696380666666,0.9566606140333332,0.42496514315,-1.895133428375,-0.30205675200000004,-24.365112305,38.748443605,6.55860900905,2.6470588235294117,52.31852414,4.873335902,-2.273105621,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0,-0.6155236536635907,-0.1706375372814778,-0.02509775644060751,0.1217714768577988,0.10684975202621326,-0.22073054935898473
1970-01-01 00:00:08,7.9269158915,-1.4459181975000002,2.5880268896424377,1.3637935968500001,-0.023900047100000085,0.06688387677500003,-12.060195923,27.19861221375,31.05241394,2.6470588235294117,52.31852414,4.873335902,-2.221408844,0.0,-1.0,10.0,10.0,1,0,0,0,0,0,0,0,-0.7097792230016408,-0.22181608726193136,-0.11939320771280555,0.13733936658031617,0.16750644288615507,-0.3021753500811893
1970-01-01 00:00:09,8.012787323,-7.043303375333334,-2.752426300166667,-0.04508557265750002,0.7162506580000003,0.03759124318861209,-15.9743270875,41.7643508925,-0.1499786377500001,2.6470588235294117,52.31852414,4.873335902,-2.257968903,0.0,262.96875,10.0,10.0,1,0,0,0,0,0,0,0,0.013920840383483889,-0.3068587736434059,-0.33119477677305087,-0.09273425376923439,0.16750032154623276,0.07092491190717554
