,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,labelOnTable,labelWalking,labelRunning,labelSitting,acc_mobile_x_temp_mean_ws_30,acc_mobile_y_temp_mean_ws_30,acc_mobile_z_temp_mean_ws_30,gyr_mobile_x_temp_mean_ws_30,gyr_mobile_y_temp_mean_ws_30,gyr_mobile_z_temp_mean_ws_30,mag_mobile_x_temp_mean_ws_30,mag_mobile_y_temp_mean_ws_30,mag_mobile_z_temp_mean_ws_30,prox_mobile_distance_temp_mean_ws_30,acc_mobile_x_temp_std_ws_30,acc_mobile_y_temp_std_ws_30,acc_mobile_z_temp_std_ws_30,gyr_mobile_x_temp_std_ws_30,gyr_mobile_y_temp_std_ws_30,gyr_mobile_z_temp_std_ws_30,mag_mobile_x_temp_std_ws_30,mag_mobile_y_temp_std_ws_30,mag_mobile_z_temp_std_ws_30,prox_mobile_distance_temp_std_ws_30,temp_pattern_labelOnTable,temp_pattern_labelWalking,temp_pattern_labelRunning,temp_pattern_labelSitting,temp_pattern_labelOnTable(b)labelOnTable,temp_pattern_labelOnTable(b)labelWalking,temp_pattern_labelOnTable(c)labelWalking,temp_pattern_labelWalking(b)labelOnTable,temp_pattern_labelWalking(c)labelOnTable,temp_pattern_labelWalking(b)labelWalking,temp_pattern_labelWalking(b)labelRunning,temp_pattern_labelWalking(b)labelSitting,temp_pattern_labelRunning(b)labelWalking,temp_pattern_labelRunning(b)labelRunning,temp_pattern_labelSitting(b)labelRunning,temp_pattern_labelSitting(b)labelSitting,acc_mobile_x_max_freq,acc_mobile_x_freq_weighted,acc_mobile_x_pse,acc_mobile_x_freq_0.0_Hz_ws_10,acc_mobile_x_freq_0.1_Hz_ws_10,acc_mobile_x_freq_0.2_Hz_ws_10,acc_mobile_x_freq_0.3_Hz_ws_10,acc_mobile_x_freq_0.4_Hz_ws_10,acc_mobile_x_freq_0.5_Hz_ws_10,acc_mobile_y_max_freq,acc_mobile_y_freq_weighted,acc_mobile_y_pse,acc_mobile_y_freq_0.0_Hz_ws_10,acc_mobile_y_freq_0.1_Hz_ws_10,acc_mobile_y_freq_0.2_Hz_ws_10,acc_mobile_y_freq_0.3_Hz_ws_10,acc_mobile_y_freq_0.4_Hz_ws_10,acc_mobile_y_freq_0.5_Hz_ws_10,acc_mobile_z_max_freq,acc_mobile_z_freq_weighted,acc_mobile_z_pse,acc_mobile_z_freq_0.0_Hz_ws_10,acc_mobile_z_freq_0.1_Hz_ws_10,acc_mobile_z_freq_0.2_Hz_ws_10,acc_mobile_z_freq_0.3_Hz_ws_10,acc_mobile_z_freq_0.4_Hz_ws_10,acc_mobile_z_freq_0.5_Hz_ws_10,gyr_mobile_x_max_freq,gyr_mobile_x_freq_weighted,gyr_mobile_x_pse,gyr_mobile_x_freq_0.0_Hz_ws_10,gyr_mobile_x_freq_0.1_Hz_ws_10,gyr_mobile_x_freq_0.2_Hz_ws_10,gyr_mobile_x_freq_0.3_Hz_ws_10,gyr_mobile_x_freq_0.4_Hz_ws_10,gyr_mobile_x_freq_0.5_Hz_ws_10,gyr_mobile_y_max_freq,gyr_mobile_y_freq_weighted,gyr_mobile_y_pse,gyr_mobile_y_freq_0.0_Hz_ws_10,gyr_mobile_y_freq_0.1_Hz_ws_10,gyr_mobile_y_freq_0.2_Hz_ws_10,gyr_mobile_y_freq_0.3_Hz_ws_10,gyr_mobile_y_freq_0.4_Hz_ws_10,gyr_mobile_y_freq_0.5_Hz_ws_10,gyr_mobile_z_max_freq,gyr_mobile_z_freq_weighted,gyr_mobile_z_pse,gyr_mobile_z_freq_0.0_Hz_ws_10,gyr_mobile_z_freq_0.1_Hz_ws_10,gyr_mobile_z_freq_0.2_Hz_ws_10,gyr_mobile_z_freq_0.3_Hz_ws_10,gyr_mobile_z_freq_0.4_Hz_ws_10,gyr_mobile_z_freq_0.5_Hz_ws_10,mag_mobile_x_max_freq,mag_mobile_x_freq_weighted,mag_mobile_x_pse,mag_mobile_x_freq_0.0_Hz_ws_10,mag_mobile_x_freq_0.1_Hz_ws_10,mag_mobile_x_freq_0.2_Hz_ws_10,mag_mobile_x_freq_0.3_Hz_ws_10,mag_mobile_x_freq_0.4_Hz_ws_10,mag_mobile_x_freq_0.5_Hz_ws_10,mag_mobile_y_max_freq,mag_mobile_y_freq_weighted,mag_mobile_y_pse,mag_mobile_y_freq_0.0_Hz_ws_10,mag_mobile_y_freq_0.1_Hz_ws_10,mag_mobile_y_freq_0.2_Hz_ws_10,mag_mobile_y_freq_0.3_Hz_ws_10,mag_mobile_y_freq_0.4_Hz_ws_10,mag_mobile_y_freq_0.5_Hz_ws_10,mag_mobile_z_max_freq,mag_mobile_z_freq_weighted,mag_mobile_z_pse,mag_mobile_z_freq_0.0_Hz_ws_10,mag_mobile_z_freq_0.1_Hz_ws_10,mag_mobile_z_freq_0.2_Hz_ws_10,mag_mobile_z_freq_0.3_Hz_ws_10,mag_mobile_z_freq_0.4_Hz_ws_10,mag_mobile_z_freq_0.5_Hz_ws_10
1970-01-01 00:00:00,0.04664300537,0.20911514282000002,9.780511321799999,0.0018432699143525,0.00114913959975,0.0007387631920999999,32.319642065,-74.91804123,-19.850212095,5.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:02,0.04269870758,0.210649452225,9.7793512345,-0.0003233809258250001,0.0005095850209749998,0.0007903067744249999,32.050306320000004,-74.89484596,-19.76573181,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:04,0.0383203125,0.219668197625,9.783841896,0.000669970991905,-0.00011390005237925,-0.00045897474045999997,32.023589135,-74.9207668325,-19.65650177,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:06,0.0395178222675,0.216749267575,9.77699363725,0.0010458395698,0.0003418881677775,-0.00016170181327499993,31.8930330275,-74.8067646025,-19.1545867925,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:08,0.0422870635975,0.21963077545,9.7799874115,0.0002361795632099999,-0.000240809517075,-0.0006517669536000001,32.4227228175,-74.7262725825,-19.4383316025,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:10,0.0381332016,0.21424198152499999,9.781147499,-0.00013565248815000002,-0.00020504521682499998,-0.0005905835714099999,32.1945123675,-74.5795116425,-19.413108825,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02409250118257665,0.018729128461334284,0.454245391845,0.0035138820082004363,0.0016611984203396546,-0.004195518358859972,0.01989547687340995,0.00853879466940992,0.0,-0.0028375617678589355,0.001053748098041403,2.35119815827,-0.006424501102634428,-0.017409959669810904,0.008421029014308967,-0.00024905033175867675,-0.00980331153510481,0.0,4.395747833240834e-05,1.462036179245859e-07,107.56601531979999,-0.0014268150265586144,0.0015975676502790748,0.0017148885961404403,-0.0007797877734727621,0.008698756553604525,0.0,0.1559700691172966,1.1043887898611349,0.0048795366304524995,0.0037496238608063586,0.0006025630358800294,-0.00016086409014342667,0.0023890948935369346,0.0011177985136326045,0.0,0.14324680390585728,0.5976564579477698,0.004771308041238251,0.001108290293299547,0.0005000889275080276,0.00020464012049275864,0.0008594059367117102,0.0012621884999938317,0.5,0.3408134478172574,0.7989401977252255,0.00018581101890499977,0.0010282542003208779,0.0005259711743434458,0.0004246579834550672,-0.0008533442098183516,0.0028447528987964603,0.0,0.0006351487504599583,9.254614970311348e-05,353.41549491750004,0.5194889730750916,-0.18878712798365171,0.5485461510156071,0.3913477184097367,-0.22031181576679693,0.2,0.00019069033237039846,1.908839276654433e-06,-823.165643695,-0.14299770937822132,0.0116598476945029,-0.09136539363696272,-0.04169581478866746,-0.20200584739070493,0.2,0.001577943289612874,0.0002461457338354609,-215.932060235,-0.6365345970490566,0.3435655644161173,-0.4919085072742,-0.12504259470482282,-0.3002162703880318
1970-01-01 00:00:12,0.042249641417500004,0.21839584350000002,9.78410385125,0.0008549079649,0.00029490503948000004,0.0003022951131300001,32.155473709999995,-74.5995197275,-19.47470856,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0009672041930489335,0.004325514986627772,0.4592824172975,0.008563800950501313,-0.004437474604603003,0.0008820897950838139,-0.001191054066635805,0.0013843209669036956,0.0,-0.0041646024792041355,0.001011399208603164,2.3627241897499998,0.0021566837694454444,0.005880903310036545,-0.012689818965905264,-0.017391392468180583,-0.0007464832828960252,0.0,-3.6116490746419504e-06,2.7279252073972603e-07,107.57761619575,0.006488671202486529,-0.008802260446643118,-0.004877536844309915,0.0022108697495433205,0.0026039482139221803,0.3,1.4709993664713277,0.6920886471356837,0.0016898949394875,0.00023760182549932367,7.824686721862625e-05,0.002482489409756421,-0.00553388892305658,0.00011200825880095793,0.0,0.0026589139173207694,1.0531511296514986,0.00297691894174325,0.00032753538044067733,0.0012357622873104546,0.0011920245864337955,-0.0009442855388700531,-0.0004967785708240004,0.2,0.31808184030214637,0.8366149918730107,-0.00035385225801499987,0.0003480323877751803,0.002278553471392479,0.0003638158222139948,0.0003993923924616072,0.0011338193145017383,0.0,-0.00038593212981611003,6.220773874660237e-05,353.27852153749996,-0.14710790846471866,0.2512407710528137,-0.4741696481152644,0.33218459822097657,-0.324723821443758,0.4,0.0002630540544713167,5.38512457521897e-06,-822.3780593874999,-0.10677150892155396,-0.25507937393769,-0.21012013514193484,0.11467501956705206,-0.2753270878158389,0.5,0.0006177049679950836,0.00026093228788293777,-215.07279968249998,-0.7246494380329409,-0.45340378414452687,0.02271369687614566,-0.3264696832842393,0.30668409483556136
1970-01-01 00:00:14,0.04670288086,0.20986358642500005,9.776731682000001,0.0006990683032250001,-0.00032757420582499986,-0.000405511178375,32.182868955,-74.6028461425,-19.4123458875,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.023621584901676672,0.020126564901085067,0.45965663909750004,0.0009429011639251333,0.005192677040097557,0.0046960491777187086,-0.020000388160111578,-0.009897840020379812,0.0,0.006552229168489214,0.001360659857712821,2.358008995025,-0.007583471888071069,-0.0033057726259916875,0.010097511631145972,0.009495652256415549,0.020466670051501365,0.0,6.894608902812851e-05,1.8393567053679353e-07,107.58450187700001,0.0005769225689640223,0.002131323983267208,0.0033876557041097044,0.00473215075193778,0.008051436491729014,0.0,0.2373027075569008,1.5709796820582747,0.0022248245075875,-0.00020755099306190758,0.0018808893608383776,-0.0024370453076654293,0.0015397569460346514,0.0017963781955380577,0.0,-2.214622262051988,1.4612887707376423,0.0014710876851857504,-0.00026236151311433034,-0.0009332292802913971,-0.0008442754828144421,0.0011437243501424882,-0.000465852204601069,0.4,0.0829829965288599,1.5060790383665967,-0.0014842090024149998,-0.0006453711924125781,-0.0021532819134022956,0.0006265478422089305,0.0015875629824978312,-0.0011977142902143878,0.0,-0.00043979877568388754,6.679175101031819e-05,353.38242912000004,-0.43739089358224703,-0.009276067928368548,0.45086789739797695,-0.38001336460417434,-0.18566188878316936,0.3,0.00041780587346201245,9.01158985913434e-06,-821.949243545,-0.3515617054978861,-0.15180548642977953,0.05843063242188862,-0.2644724031298793,-0.3801868436143607,0.5,0.0008953385876429797,0.0003616777095071544,-213.9770355225,-0.08419905119579596,-0.5433209322538985,-0.6169444357889091,-0.4846951624620601,0.6069176079506766
1970-01-01 00:00:16,0.03880680084,0.214616203325,9.775122527999999,0.00018671114222424992,-0.00017818168272500004,0.0007217572420499999,32.278992655,-74.8314609525,-19.4700012225,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.002864625967381426,0.021078683207965576,0.4522096252375001,-0.013681972728348049,-0.003283196211465278,-0.004658126944575347,0.017406517632361625,-0.004540011895472916,0.0,0.002294141107570907,0.00038981947351407486,2.3589071273749997,-0.0010109550404588385,0.00702979071001425,-0.004954484800379133,0.0017931911954031932,0.009809865910420608,0.0,8.362750938574155e-06,9.698564205534235e-07,107.58210685724998,-0.015883624668486362,-0.003983831446934261,-0.008532127789209198,-0.004387222931692136,0.015198383086324263,0.4,0.30935702667262915,1.2846940212786784,0.0023491164318292504,-0.00041111492476410413,-0.0019437986408218282,0.002475392789803218,0.003984708675604746,0.0004723715181633436,0.0,0.06417120836127728,0.6391194916387283,0.0020059770898650004,0.0007855502236972561,-7.78766864035312e-05,-0.0003440005934870982,0.0003161166448173476,0.0001976067892197757,0.2,1.6933880349201906,1.307990365122854,0.00022551466814500033,0.0014285607096713132,0.0017428424390621147,-0.0011534028131577403,-0.0004956548982967142,-0.0025244627443639727,0.0,-0.0012612704593437172,6.25538530720942e-05,353.67265606000007,-0.09999454691443077,-0.2725740294093413,-0.5368113679701594,-0.38910879218810024,-0.12615764226796244,0.2,5.734351027805625e-05,8.785650313565696e-06,-821.9426975199999,-0.5835750526055961,0.14876325704078397,-0.021921995731702282,0.07416959574611326,-0.08329235819964254,0.3,-0.0026567600238941494,0.0002538448796311854,-213.7433471725,-0.17567754143566816,0.4390341899354908,0.6146202123898377,0.1253716824014539,0.5180976842088718
1970-01-01 00:00:18,0.043746528624999996,0.212520561225,9.7827192305,-0.0008429721929999999,-0.00016635004443249995,0.000263230176525,32.2049999225,-74.78964042499999,-19.6339721675,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0031647568843068685,0.004095648991487879,0.464933166495,0.0024169655442378424,0.0019159394787336137,-0.0026466116994628072,0.005156432836613815,-0.006730459621372441,0.0,0.0039048705461796535,0.0005349443642981335,2.3585329055999997,0.007500613804751477,-0.00042690189126132205,0.009461618929163473,0.0026506090601745025,0.00951687227217183,0.0,-1.3509078110249667e-05,5.235168860816491e-07,107.59333351149999,-0.0046958407178010475,0.002210547968669374,0.004000055653383683,-0.014994397346571375,0.006743641942319023,0.0,-0.11966328082878391,1.1176641480797647,0.0022606457931442503,0.00013005636360514852,0.001876397334644157,-0.0005919532073316016,-0.0012151948993653688,-3.064089046946096e-05,0.0,0.7528172017141368,0.9616826201203079,0.0008682458423400004,-0.000515145471251639,9.296327707274799e-05,0.0008431092217272671,-0.0019948496687510094,-0.00018465262387986668,0.3,0.3450382816276417,1.0502318050614863,0.00015553424572999986,-7.867412529537264e-05,-0.0020214841774729353,0.0005365112761985551,-0.0009059764684759889,-0.0011928618726192585,0.0,0.0011949334082797653,5.03651225805861e-05,354.075876235,0.3026503904165523,0.030269963256706944,0.21759327470120837,0.4522387175042546,0.28428503287129026,0.4,-0.00011411243096344526,2.4376808769794048e-06,-822.025522225,-0.1966052616526781,-0.06103256171147109,-0.02917229644324948,0.18116040093833874,0.12391162761898045,0.4,-0.0009496961411308638,0.00018683099005550096,-213.9970703175,-0.3749031937016909,0.002137997424910054,-0.33977033012734736,0.5798072401071899,0.22043963129695054
