,acc_mobile_x,acc_mobile_y,acc_mobile_z,bar_mobile_x,labelOnTable,labelWalking,labelRunning,labelSitting
1970-01-01 00:00:14.500,0.05269042969,0.20911514280000001,9.770781555,,1,0,0,0
1970-01-01 00:00:14.750,0.05822891235,0.1983375549,9.772727509,1005.159073,1,0,0,0
1970-01-01 00:00:15.000,0.03712280273,0.2085163879,9.793085175,,1,0,0,0
1970-01-01 00:00:15.250,0.03203338623,0.2104623413,9.781559142999999,,1,0,0,0
1970-01-01 00:00:15.500,0.0419128418,0.2125579834,9.780960387999999,,1,0,0,0
1970-01-01 00:00:15.750,0.04086502075,0.21674926760000002,9.791588287,1005.159531,1,0,0,0
1970-01-01 00:00:16.000,0.04116439819,0.22034179690000003,9.774823151,,1,0,0,0
1970-01-01 00:00:16.250,0.04296066284,0.21600082399999998,9.781110077000001,,1,0,0,0
1970-01-01 00:00:16.500,0.03173400879,0.21225860600000002,9.773925018,,1,0,0,0
1970-01-01 00:00:16.750,0.039368133539999996,0.2098635864,9.770631866,1005.1598359999999,1,0,0,0
1970-01-01 00:00:17.000,0.03981719971,0.2130070496,9.779164124,,1,0,0,0
1970-01-01 00:00:17.250,0.049397277829999996,0.20627105710000002,9.782906342,,1,0,0,0
1970-01-01 00:00:17.500,0.04041595459,0.227227478,9.782157898,,1,0,0,0
1970-01-01 00:00:17.750,0.049996032710000006,0.2146536255,9.781708832,1005.1604460000001,1,0,0,0
1970-01-01 00:00:18.000,0.0549357605,0.2218386841,9.782157898,,1,0,0,0
1970-01-01 00:00:18.250,0.03712280273,0.21674926760000002,9.782756653,,1,0,0,0
1970-01-01 00:00:18.500,0.03412902832,0.1987866211,9.782457275,,1,0,0,0
1970-01-01 00:00:18.750,0.04879852295,0.21270767210000002,9.783505096,1005.160599,1,0,0,0
1970-01-01 00:00:19.000,0.033081207280000004,0.2107617188,9.780361633,,1,0,0,0
1970-01-01 00:00:19.250,0.02844085693,0.2044747925,9.769434357,,1,0,0,0
1970-01-01 00:00:19.500,0.03173400879,0.2219883728,9.775272217000001,,1,0,0,0
1970-01-01 00:00:19.750,0.042212219239999994,0.21420455929999999,9.769284668,1005.1633449999999,1,0,0,0
1970-01-01 00:00:20.000,0.03442840576,0.21929397579999999,9.784103851,,1,0,0,0
1970-01-01 00:00:20.250,0.0375718689,0.21151016239999998,9.776918793,,1,0,0,0
1970-01-01 00:00:20.500,0.05119354248,0.22348526,9.781559142999999,,1,0,0,0
1970-01-01 00:00:20.750,0.03143463135,0.217048645,9.771230621,1005.166168,1,0,0,0
1970-01-01 00:00:21.000,0.036823425289999996,0.20657043460000002,9.765841827000001,,1,0,0,0
1970-01-01 00:00:21.250,0.047750701900000005,0.21225860600000002,9.777667236000001,,1,0,0,0
1970-01-01 00:00:21.500,0.04236190796,0.21151016239999998,9.781110077000001,,1,0,0,0
1970-01-01 00:00:21.750,0.0426612854,0.2180964661,9.781559142999999,1005.1679230000001,1,0,0,0
1970-01-01 00:00:22.000,0.05074447632,0.2168989563,9.778116302,,1,0,0,0
1970-01-01 00:00:22.250,0.03891906738,0.2073188782,9.771230621,,1,0,0,0
1970-01-01 00:00:22.500,0.04805007935,0.2186952209,9.781409454,,1,0,0,0
1970-01-01 00:00:22.750,0.045804748539999995,0.2163002014,9.79248642,1005.169067,1,0,0,0
1970-01-01 00:00:23.000,0.04864883423000001,0.21061203,9.784702606,,1,0,0,0
1970-01-01 00:00:23.250,0.03248245238999999,0.20342697140000002,9.789792023,,1,0,0,0
1970-01-01 00:00:23.500,0.036823425289999996,0.2014810181,9.784403229,,1,0,0,0
1970-01-01 00:00:23.750,0.0339793396,0.2189945984,9.791139221,1005.169067,1,0,0,0
1970-01-01 00:00:24.000,0.048349456789999995,0.2213896179,9.772877197,,1,0,0,0
1970-01-01 00:00:24.250,0.03697311401,0.21929397579999999,9.786498871000001,,1,0,0,0
1970-01-01 00:00:24.500,0.056432647710000006,0.2098635864,9.783205719,,1,0,0,0
