Time;x;y;z
5.073517750E1;2.819536743E0;-7.814200287E0;2.809507599E0
5.113855837E1;2.292333069E0;-7.347171478E0;1.713037720E0
5.154200037E1;1.787433014E0;-1.031639694E1;8.153544617E-1
5.194542029E1;5.899980927E0;-7.330855408E0;4.712350616E0
5.234883229E1;3.721710663E0;-1.255678802E1;6.358776855E-1
5.275227529E1;1.542542267E0;-7.974067841E0;4.632865906E-1
5.315571550E1;3.703748016E0;-5.187761993E0;4.388873291E-1
5.355912750E1;1.416204987E0;-1.005803421E1;1.848206635E0
5.396257854E1;5.119054871E0;-9.410929871E0;3.249592438E0
5.436602154E1;4.580025787E0;-1.285077667E1;6.469546509E-1
5.476940254E1;3.251688080E0;-1.074435699E1;1.599873047E0
5.517282092E1;2.508782959E0;-1.018871246E1;3.366349640E0
5.557626292E1;2.849923553E0;-5.628595276E0;1.148411865E0
5.597966225E1;4.295916595E0;-8.699010315E0;2.015109558E0
5.638307425E1;2.220632172E0;-1.335896988E1;1.305285645E0
5.678649812E1;4.711751862E0;-9.931996307E0;2.739303589E0
5.718994112E1;4.376000061E0;-1.046249313E1;2.649190979E0
5.759341412E1;2.323019257E0;-7.663912811E0;4.517605591E-1
5.799686850E1;1.148112488E0;-4.377946014E0;4.237687683E-1
5.840034150E1;1.680106201E0;-1.220067856E1;1.327738953E0
5.880375504E1;4.885690155E0;-7.624095612E0;4.110751648E0
5.920722804E1;4.812791748E0;-1.065140030E1;7.542814636E-1
5.961070104E1;3.629652100E0;-9.618847504E0;1.519340515E-1
6.001418950E1;2.243384857E0;-8.838071136E0;2.067201233E0
6.041763150E1;1.536105652E0;-5.796546021E0;1.922302551E0
6.082105454E1;4.654870148E0;-9.053173828E0;2.379451904E0
6.122449654E1;2.400707703E0;-1.357991043E1;8.857081604E-1
6.162790854E1;4.204307098E0;-1.124940674E1;1.116827545E0
6.203135504E1;3.157833252E0;-8.744216309E0;8.906478882E-1
6.243473704E1;1.173409882E0;-5.129533081E0;1.185534668E0
6.283815042E1;2.635569305E0;-7.076833649E0;1.530118103E0
6.324159242E1;2.808160400E-1;-1.555041275E1;1.454974365E0
6.364500442E1;4.511618042E0;-1.088431595E1;2.850372620E0
6.404841967E1;4.006568298E0;-1.003438339E1;6.456074524E-1
6.445183167E1;2.260599060E0;-7.922125854E0;4.616400146E-1
6.485523487E1;4.427792358E-1;-8.198900299E0;1.825903015E0
6.525867687E1;8.506809998E-1;-8.282426605E0;1.717827759E0
6.566208887E1;6.139183502E0;-9.780511322E0;2.742596741E0
6.606554225E1;4.205803986E0;-1.263657211E1;-4.640350342E-2
6.646898425E1;3.776197357E0;-9.597741394E0;7.098239136E-1
6.687247087E1;1.447938995E0;-1.037178177E1;3.091670837E0
6.727588287E1;1.149908752E0;-5.721252594E0;1.037642212E0
6.767932487E1;1.180744629E0;-6.330934753E0;2.464924164E0
6.808272150E1;3.557801514E0;-1.337648346E1;9.400451660E-2
6.848613350E1;5.332660675E0;-1.172257278E1;3.025807800E0
6.888950367E1;4.821174316E0;-1.146001877E1;1.905238037E0
6.929294667E1;2.360291748E0;-7.510781250E0;7.918533325E-2
6.969638867E1;8.177494812E-1;-6.682703247E0;1.756447449E0
7.009981525E1;1.499132538E0;-1.017239639E1;1.538350983E0
7.050325825E1;4.616100769E0;-9.817035370E0;4.078269196E0
7.090671675E1;4.363575897E0;-1.177271851E1;3.978726196E-1
7.131015975E1;2.017953644E0;-8.889114990E0;1.469045105E0
7.171357075E1;2.248474274E0;-9.949060822E0;3.041974182E0
7.211699087E1;1.539398804E0;-6.112389221E0;1.283131714E0
7.252046388E1;3.737877045E0;-5.741011505E0;1.135987701E0
7.292398562E1;2.540666656E0;-1.446292419E1;4.769082642E-1
7.332739762E1;4.328698425E0;-1.102442459E1;3.240311737E0
7.373077862E1;4.810696106E0;-9.684560852E0;5.542973328E-1
7.413420250E1;2.639760590E0;-7.978259125E0;2.954855347E-1
7.453761450E1;3.353027344E-2;-6.329138489E0;1.320104828E0
7.494104900E1;4.787045288E-1;-1.139250916E1;2.963836670E0
7.534446100E1;5.731281738E0;-8.886570282E0;3.717519379E0
7.574787300E1;5.350773010E0;-9.517807617E0;4.942721558E-1
7.615128400E1;2.840044098E0;-9.226213989E0;1.561702423E0
7.655469500E1;1.767674103E0;-1.002495300E1;4.806055756E0
7.695813225E1;2.197131042E0;-6.560257874E0;1.464255066E0
7.736154425E1;4.697980499E0;-8.569379883E0;1.750010834E0
7.776498625E1;3.510050812E0;-1.110495712E1;1.553020477E0
7.816837887E1;3.737128601E0;-1.025786865E1;1.542991333E0
7.857179087E1;4.953499146E0;-1.068792435E1;2.288740540E0
7.897524604E1;2.163750458E0;-6.981481934E0;5.851332092E-1
7.937871904E1;2.527494049E0;-6.522985382E0;1.703307953E0
7.978219204E1;2.095791779E0;-1.433329376E1;1.408870239E0
8.018561337E1;5.564528503E0;-1.129506180E1;2.894231415E0
8.058905637E1;6.304140472E0;-9.131461029E0;9.385482788E-2
8.099244787E1;1.764979706E0;-8.199948120E0;3.986210632E-1
8.139585987E1;2.953807526E0;-5.375321960E0;9.930349731E-1
8.179927187E1;2.850522308E0;-1.189082291E1;1.715582428E0
8.220270075E1;4.396956482E0;-8.700207825E0;4.142186279E0
8.260614375E1;4.300556946E0;-9.814191284E0;1.021176453E0
8.300959042E1;2.179018707E0;-8.685538330E0;2.303709412E-1
8.341300242E1;1.615440674E0;-7.377558289E0;2.347119141E0
8.381643079E1;1.880689087E0;-1.058299255E1;2.094743958E0
8.421984279E1;4.972958679E0;-1.107397156E1;3.744463348E0
8.462328479E1;4.328249359E0;-1.166269730E1;6.219566345E-1
8.502670317E1;3.867058411E0;-9.358688507E0;1.014739838E0
8.543011517E1;3.514092407E0;-9.107959900E0;3.054997101E0
8.583355675E1;1.976639557E0;-5.795348511E0;1.362766113E0
8.623699875E1;2.961591339E0;-6.456822968E0;1.675465851E0
8.664041075E1;4.179458771E0;-1.278626083E1;7.783813477E-3
8.704382325E1;4.204606476E0;-9.602980499E0;2.220781860E0
8.744720425E1;4.328399048E0;-1.070932983E1;3.024610291E0
8.785058437E1;1.722617798E0;-7.488627319E0;6.637197876E-1
8.825399637E1;1.820214844E0;-4.839286652E0;1.103205872E0
8.865743837E1;1.904938660E0;-1.049647247E1;3.132685547E0
8.906088700E1;3.869004364E0;-8.679850159E0;3.023712158E0
8.946432900E1;5.015320587E0;-9.373358002E0;1.986968079E0
8.986779312E1;1.714534607E0;-8.632099457E0;6.812333679E-1
9.027123512E1;3.895948334E0;-5.100343781E0;1.182540894E-1
9.067470812E1;6.842271423E-1;-8.435558167E0;4.092639313E0
9.107811575E1;6.954687653E0;-8.400830383E0;3.668720856E0
9.148155775E1;2.746788025E0;-1.071397018E1;2.070793762E0
9.188494075E1;3.588637390E0;-9.905950470E0;1.264869690E-1
9.228832175E1;1.944456482E0;-8.963659973E0;1.270707550E0
9.269173375E1;1.682950287E0;-5.737269287E0;1.533860321E0
9.309514575E1;1.633702698E0;-9.369316406E0;2.790048065E0
9.349855775E1;3.993545380E0;-1.167452271E1;-2.206411743E-1
9.390193704E1;3.326083374E0;-1.116573074E1;2.203867035E0
9.430531804E1;4.060905304E0;-9.730215912E0;2.005379791E0
9.470873004E1;1.145118713E0;-6.077062683E0;9.126521301E-1
9.511206650E1;5.418731689E-2;-6.628964996E0;2.454445953E0
9.551544750E1;3.156186676E0;-1.131586853E1;7.435038757E-1
9.591878512E1;4.784799957E0;-1.179936310E1;2.232756958E0
9.632219712E1;3.878135376E0;-9.463320923E0;1.720522156E0
9.672560912E1;1.610051880E0;-6.657555542E0;4.333488464E-1
9.712896925E1;2.996768188E-1;-8.083789673E0;2.356399841E0
9.753232025E1;3.284619598E0;-1.156435181E1;1.207838287E0
